Member Id,Course,Number of classes attended,Number of classes absent,Course Credit,Average Attendance %,Serial No.,Course Type,Student Name,Program,Batch,Period,Enrollment Date,Primary Faculty,Section
075f4288380a972f084731c23f3ae382165107e4c5a2a2cd85363d3a96046fed,CSE 511/Algorithms,33.0,48.0,4.0,40.7,1524,REGULAR,befcab76f7ca4aba6f5e642ce30000c07c7628d35a2266486cbaad4cf951c169,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,Muralidhara V N,T1-24-25-CSE 511
075f4288380a972f084731c23f3ae382165107e4c5a2a2cd85363d3a96046fed,CSE 513/Software Systems,6.0,52.0,4.0,10.7,1670,REGULAR,befcab76f7ca4aba6f5e642ce30000c07c7628d35a2266486cbaad4cf951c169,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
0973461138cb17a8b4e83ab8a2a9577864b165a6a52f114bc4997353f62da19a,AIM 511/Machine Learning,46.0,10.0,4.0,82.1,207,REGULAR,035407120374e5beef7a3dbdba186d8db0b2c7503d82533f1759fc540a566f77,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
0973461138cb17a8b4e83ab8a2a9577864b165a6a52f114bc4997353f62da19a,AIM 512/Mathematics for Machine Learning,1.0,1.0,4.0,50.0,398,REGULAR,035407120374e5beef7a3dbdba186d8db0b2c7503d82533f1759fc540a566f77,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
0973461138cb17a8b4e83ab8a2a9577864b165a6a52f114bc4997353f62da19a,CSE 511/Algorithms,66.0,15.0,4.0,81.5,1532,REGULAR,035407120374e5beef7a3dbdba186d8db0b2c7503d82533f1759fc540a566f77,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,Muralidhara V N,T1-24-25-CSE 511
0973461138cb17a8b4e83ab8a2a9577864b165a6a52f114bc4997353f62da19a,CSE 513/Software Systems,38.0,20.0,4.0,100.0,1678,REGULAR,035407120374e5beef7a3dbdba186d8db0b2c7503d82533f1759fc540a566f77,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
0a7edd4afd6231faf9929968ab5073cecf8f3c8686ca57c8ff8493b8b12f8a65,VLS 502/Analog CMOS VLSI Design,14.0,8.0,4.0,63.6,4600,REGULAR,c39fc20a7d556fa8ecabcc5fbcbb8b7607e2236677e5cbf41de49a56ba3b572d,Master of Technology ECE,2024-2026 ECE,Term I 2024-25,28/07/24,Sakshi Arora,T1-24-25-VLS 502
0a7edd4afd6231faf9929968ab5073cecf8f3c8686ca57c8ff8493b8b12f8a65,VLS 505/System design with FPGA,5.0,4.0,4.0,55.6,4809,REGULAR,c39fc20a7d556fa8ecabcc5fbcbb8b7607e2236677e5cbf41de49a56ba3b572d,Master of Technology ECE,2024-2026 ECE,Term I 2024-25,28/07/24,Nanditha Rao,T1-24-25-VLS 505
0a7edd4afd6231faf9929968ab5073cecf8f3c8686ca57c8ff8493b8b12f8a65,VLS 864/Embedded Systems Design,21.0,3.0,4.0,87.5,4942,REGULAR,c39fc20a7d556fa8ecabcc5fbcbb8b7607e2236677e5cbf41de49a56ba3b572d,Master of Technology ECE,2024-2026 ECE,Term I 2024-25,28/07/24,Kurian Polachan,T1-24-25-VLS 864
0a823d71b1ecf1889543cdc24c9c015e562bfdc07b5365d85c1dbe9649a205bd,AIM 511/Machine Learning,50.0,6.0,4.0,89.3,183,REGULAR,29d330089e6a208fa5e89ea4fc9c95c6dbb13941b1f8153a8ee5891829fb6afa,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
0a823d71b1ecf1889543cdc24c9c015e562bfdc07b5365d85c1dbe9649a205bd,AIM 512/Mathematics for Machine Learning,1.0,1.0,4.0,50.0,376,REGULAR,29d330089e6a208fa5e89ea4fc9c95c6dbb13941b1f8153a8ee5891829fb6afa,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
0a823d71b1ecf1889543cdc24c9c015e562bfdc07b5365d85c1dbe9649a205bd,CSE 513/Software Systems,44.0,14.0,4.0,100.0,1654,REGULAR,29d330089e6a208fa5e89ea4fc9c95c6dbb13941b1f8153a8ee5891829fb6afa,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,25/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
0a823d71b1ecf1889543cdc24c9c015e562bfdc07b5365d85c1dbe9649a205bd,CSE 514/Concrete Mathematics,12.0,1.0,4.0,92.3,1909,REGULAR,29d330089e6a208fa5e89ea4fc9c95c6dbb13941b1f8153a8ee5891829fb6afa,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Srinivas Vivek,T1-24-25-CSE 514
0aa09c725e6283cbff9a0d5f1da14508596aea5d9fede3c7f68bffd175007f30,AIM 511/Machine Learning,54.0,2.0,4.0,96.4,288,REGULAR,379331e13821a4735255cfa88f1511922c5a00746d8c448b7a8a015db6e61d36,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
0aa09c725e6283cbff9a0d5f1da14508596aea5d9fede3c7f68bffd175007f30,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,479,REGULAR,379331e13821a4735255cfa88f1511922c5a00746d8c448b7a8a015db6e61d36,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
0aa09c725e6283cbff9a0d5f1da14508596aea5d9fede3c7f68bffd175007f30,CSE 511/Algorithms,75.0,6.0,4.0,92.6,1617,REGULAR,379331e13821a4735255cfa88f1511922c5a00746d8c448b7a8a015db6e61d36,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,Muralidhara V N,T1-24-25-CSE 511
0aa09c725e6283cbff9a0d5f1da14508596aea5d9fede3c7f68bffd175007f30,CSE 513/Software Systems,54.0,4.0,4.0,100.0,1770,REGULAR,379331e13821a4735255cfa88f1511922c5a00746d8c448b7a8a015db6e61d36,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
0b2a89060677e4ffdcd879ebc4c857eae3729aa4c24611cc58186e6c7b582a1a,AIM 511/Machine Learning,54.0,2.0,4.0,96.4,313,REGULAR,d0ec2c6562f1fddffbc6eb0d253012ca9cfeed936b17a4f3d3b8ef7f93413de0,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
0b2a89060677e4ffdcd879ebc4c857eae3729aa4c24611cc58186e6c7b582a1a,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,504,REGULAR,d0ec2c6562f1fddffbc6eb0d253012ca9cfeed936b17a4f3d3b8ef7f93413de0,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
0b2a89060677e4ffdcd879ebc4c857eae3729aa4c24611cc58186e6c7b582a1a,CSE 511/Algorithms,72.0,9.0,4.0,88.9,1643,REGULAR,d0ec2c6562f1fddffbc6eb0d253012ca9cfeed936b17a4f3d3b8ef7f93413de0,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,Muralidhara V N,T1-24-25-CSE 511
0b2a89060677e4ffdcd879ebc4c857eae3729aa4c24611cc58186e6c7b582a1a,CSE 513/Software Systems,46.0,12.0,4.0,100.0,1797,REGULAR,d0ec2c6562f1fddffbc6eb0d253012ca9cfeed936b17a4f3d3b8ef7f93413de0,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
0e138ce91dc13b60984e06931d8ee5fd9d963198973652fef016bc6a28b3aeb9,AIM 511/Machine Learning,16.0,40.0,4.0,28.6,247,REGULAR,a3ef2b3ee60ee68e6d3dd15807c8d206157d172d749f45aebd5d538b8540d2d2,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
0e138ce91dc13b60984e06931d8ee5fd9d963198973652fef016bc6a28b3aeb9,AIM 512/Mathematics for Machine Learning,0.0,2.0,4.0,0.0,439,REGULAR,a3ef2b3ee60ee68e6d3dd15807c8d206157d172d749f45aebd5d538b8540d2d2,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
0e138ce91dc13b60984e06931d8ee5fd9d963198973652fef016bc6a28b3aeb9,CSE 511/Algorithms,21.0,60.0,4.0,25.9,1577,REGULAR,a3ef2b3ee60ee68e6d3dd15807c8d206157d172d749f45aebd5d538b8540d2d2,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,Muralidhara V N,T1-24-25-CSE 511
0e138ce91dc13b60984e06931d8ee5fd9d963198973652fef016bc6a28b3aeb9,CSE 513/Software Systems,20.0,38.0,4.0,100.0,1726,REGULAR,a3ef2b3ee60ee68e6d3dd15807c8d206157d172d749f45aebd5d538b8540d2d2,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
1023dbaa96f4f1d641cf3bab105f5f6cf6f21a2ba3130d59207ebe2dd373cd44,AIM 511/Machine Learning,46.0,10.0,4.0,82.1,255,REGULAR,d796a12d26c34f360658d187450421a2e859e6db6c90c0164679903727362a50,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
1023dbaa96f4f1d641cf3bab105f5f6cf6f21a2ba3130d59207ebe2dd373cd44,AIM 512/Mathematics for Machine Learning,0.0,2.0,4.0,0.0,447,REGULAR,d796a12d26c34f360658d187450421a2e859e6db6c90c0164679903727362a50,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
1023dbaa96f4f1d641cf3bab105f5f6cf6f21a2ba3130d59207ebe2dd373cd44,CSE 511/Algorithms,69.0,12.0,4.0,85.2,1583,REGULAR,d796a12d26c34f360658d187450421a2e859e6db6c90c0164679903727362a50,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,27/07/24,Muralidhara V N,T1-24-25-CSE 511
1023dbaa96f4f1d641cf3bab105f5f6cf6f21a2ba3130d59207ebe2dd373cd44,CSE 513/Software Systems,46.0,12.0,4.0,100.0,1733,REGULAR,d796a12d26c34f360658d187450421a2e859e6db6c90c0164679903727362a50,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,27/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
11e781af0bb8b6ce2e5ddfa96355eebb76bee6140fb7d7e02087ca4e280431e3,AIM 511/Machine Learning,50.0,6.0,4.0,89.3,291,REGULAR,ad8fc6f0a1fa69968f8cbf9974b79a105bac5d0215cc51e3dcee49a63f127a5a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
11e781af0bb8b6ce2e5ddfa96355eebb76bee6140fb7d7e02087ca4e280431e3,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,482,REGULAR,ad8fc6f0a1fa69968f8cbf9974b79a105bac5d0215cc51e3dcee49a63f127a5a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
11e781af0bb8b6ce2e5ddfa96355eebb76bee6140fb7d7e02087ca4e280431e3,CSE 513/Software Systems,36.0,22.0,4.0,100.0,1773,REGULAR,ad8fc6f0a1fa69968f8cbf9974b79a105bac5d0215cc51e3dcee49a63f127a5a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
11e781af0bb8b6ce2e5ddfa96355eebb76bee6140fb7d7e02087ca4e280431e3,CSE 514/Concrete Mathematics,13.0,0.0,4.0,100.0,1938,REGULAR,ad8fc6f0a1fa69968f8cbf9974b79a105bac5d0215cc51e3dcee49a63f127a5a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,25/07/24,Srinivas Vivek,T1-24-25-CSE 514
12abe0c06944903805b5e0977a71f1a86a2fe547fdbc0d3a88cf1fc901baba21,AIM 511/Machine Learning,44.0,12.0,4.0,78.6,189,REGULAR,ca15b22583a35bf60f583ca2b97af6ff89b76408b617d7e2f5850a32bec44ace,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
12abe0c06944903805b5e0977a71f1a86a2fe547fdbc0d3a88cf1fc901baba21,CSE 511/Algorithms,60.0,21.0,4.0,74.1,1514,REGULAR,ca15b22583a35bf60f583ca2b97af6ff89b76408b617d7e2f5850a32bec44ace,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,Muralidhara V N,T1-24-25-CSE 511
12abe0c06944903805b5e0977a71f1a86a2fe547fdbc0d3a88cf1fc901baba21,CSE 513/Software Systems,22.0,36.0,4.0,100.0,1660,REGULAR,ca15b22583a35bf60f583ca2b97af6ff89b76408b617d7e2f5850a32bec44ace,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
12abe0c06944903805b5e0977a71f1a86a2fe547fdbc0d3a88cf1fc901baba21,CSE 514/Concrete Mathematics,9.0,4.0,4.0,69.2,1910,REGULAR,ca15b22583a35bf60f583ca2b97af6ff89b76408b617d7e2f5850a32bec44ace,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,05/08/24,Srinivas Vivek,T1-24-25-CSE 514
13b15d99def3e43c58cc85a162f566c19c8688486545590ae7ee017984f9a970,AIM 511/Machine Learning,52.0,4.0,4.0,92.9,305,REGULAR,9869f086ea44d04eb3caefbaf305880370cacc1cbc5691081ab8f0dfe765447a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
13b15d99def3e43c58cc85a162f566c19c8688486545590ae7ee017984f9a970,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,496,REGULAR,9869f086ea44d04eb3caefbaf305880370cacc1cbc5691081ab8f0dfe765447a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
13b15d99def3e43c58cc85a162f566c19c8688486545590ae7ee017984f9a970,CSE 511/Algorithms,66.0,15.0,4.0,81.5,1635,REGULAR,9869f086ea44d04eb3caefbaf305880370cacc1cbc5691081ab8f0dfe765447a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,Muralidhara V N,T1-24-25-CSE 511
13b15d99def3e43c58cc85a162f566c19c8688486545590ae7ee017984f9a970,CSE 513/Software Systems,52.0,6.0,4.0,100.0,1789,REGULAR,9869f086ea44d04eb3caefbaf305880370cacc1cbc5691081ab8f0dfe765447a,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,29/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
13d7c08e41901657bd51d72fa0ea1156b5c606e3a5168979312db38cf1059d3c,AIM 511/Machine Learning,50.0,6.0,4.0,89.3,252,REGULAR,998503487304ac6fa43a4d4b276e3c3d1619043a4fe685cfd454c44911e127bd,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
13d7c08e41901657bd51d72fa0ea1156b5c606e3a5168979312db38cf1059d3c,AIM 512/Mathematics for Machine Learning,0.0,2.0,4.0,0.0,444,REGULAR,998503487304ac6fa43a4d4b276e3c3d1619043a4fe685cfd454c44911e127bd,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
13d7c08e41901657bd51d72fa0ea1156b5c606e3a5168979312db38cf1059d3c,CSE 511/Algorithms,69.0,12.0,4.0,85.2,1580,REGULAR,998503487304ac6fa43a4d4b276e3c3d1619043a4fe685cfd454c44911e127bd,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,Muralidhara V N,T1-24-25-CSE 511
13d7c08e41901657bd51d72fa0ea1156b5c606e3a5168979312db38cf1059d3c,CSE 513/Software Systems,50.0,8.0,4.0,100.0,1730,REGULAR,998503487304ac6fa43a4d4b276e3c3d1619043a4fe685cfd454c44911e127bd,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
147850966e43dc2e324dc2222f33aeae208d8f92297d850dc48ee0e5d8ff0d19,AIM 511/Machine Learning,52.0,4.0,4.0,92.9,261,REGULAR,fa7b8d929b54a39f5c51cb52e1a42583d42549d1d686829a7c1b7987c3740891,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
147850966e43dc2e324dc2222f33aeae208d8f92297d850dc48ee0e5d8ff0d19,AIM 512/Mathematics for Machine Learning,1.0,1.0,4.0,50.0,453,REGULAR,fa7b8d929b54a39f5c51cb52e1a42583d42549d1d686829a7c1b7987c3740891,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
147850966e43dc2e324dc2222f33aeae208d8f92297d850dc48ee0e5d8ff0d19,CSE 511/Algorithms,69.0,12.0,4.0,85.2,1589,REGULAR,fa7b8d929b54a39f5c51cb52e1a42583d42549d1d686829a7c1b7987c3740891,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,Muralidhara V N,T1-24-25-CSE 511
147850966e43dc2e324dc2222f33aeae208d8f92297d850dc48ee0e5d8ff0d19,CSE 513/Software Systems,44.0,14.0,4.0,100.0,1740,REGULAR,fa7b8d929b54a39f5c51cb52e1a42583d42549d1d686829a7c1b7987c3740891,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
14c1e6f6db35fc08eb0fe6b496924fdb2280c15bb2ab9279e4ca9d4c8d73a4e2,CSE 511/Algorithms,0.0,81.0,4.0,0.0,1518,REGULAR,9c778d61386925c05a39cc21bef883d7e71e63461dfca447c16f1fe69f9c0ce4,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,Muralidhara V N,T1-24-25-CSE 511
14c1e6f6db35fc08eb0fe6b496924fdb2280c15bb2ab9279e4ca9d4c8d73a4e2,CSE 513/Software Systems,0.0,58.0,4.0,0.0,1664,REGULAR,9c778d61386925c05a39cc21bef883d7e71e63461dfca447c16f1fe69f9c0ce4,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
15373975ad50d737c8c28d0f09ab49a3654cbcf19eb3bd7d7d14067a2c0a7828,AIM 511/Machine Learning,54.0,2.0,4.0,96.4,302,REGULAR,58461d0b61912985b28158827e65cd86bba7635590e0c1a728e1462ab8aa91af,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
15373975ad50d737c8c28d0f09ab49a3654cbcf19eb3bd7d7d14067a2c0a7828,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,493,REGULAR,58461d0b61912985b28158827e65cd86bba7635590e0c1a728e1462ab8aa91af,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
15373975ad50d737c8c28d0f09ab49a3654cbcf19eb3bd7d7d14067a2c0a7828,CSE 511/Algorithms,72.0,9.0,4.0,88.9,1631,REGULAR,58461d0b61912985b28158827e65cd86bba7635590e0c1a728e1462ab8aa91af,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,Muralidhara V N,T1-24-25-CSE 511
15373975ad50d737c8c28d0f09ab49a3654cbcf19eb3bd7d7d14067a2c0a7828,CSE 513/Software Systems,52.0,6.0,4.0,100.0,1785,REGULAR,58461d0b61912985b28158827e65cd86bba7635590e0c1a728e1462ab8aa91af,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
154369defc169818ea94c98588b31c51be3a1fcffc0216b4c9b58cd207a6ddbe,AIM 511/Machine Learning,54.0,2.0,4.0,96.4,209,REGULAR,47c4eb64d9dc7b41667620ace2767c84186fceb1ea1ab72f2252a1fc592c197b,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
154369defc169818ea94c98588b31c51be3a1fcffc0216b4c9b58cd207a6ddbe,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,400,REGULAR,47c4eb64d9dc7b41667620ace2767c84186fceb1ea1ab72f2252a1fc592c197b,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
154369defc169818ea94c98588b31c51be3a1fcffc0216b4c9b58cd207a6ddbe,CSE 511/Algorithms,72.0,9.0,4.0,88.9,1534,REGULAR,47c4eb64d9dc7b41667620ace2767c84186fceb1ea1ab72f2252a1fc592c197b,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,28/07/24,Muralidhara V N,T1-24-25-CSE 511
