Serial No.,Course Type,Student ID,Student Name,Program,Batch,Period,Enrollment Date,Primary Faculty,Subject Code / Name,Section
12,REGULAR,09055945f3006366b2758fc0964f9531704927a7273db74338c9be4c5cf10725,2944a22cf96ac0d7b72510c9060789017190699b6698fa1f99ec34671650e9b7,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
13,REGULAR,a53b6b6671b6475bb2588f6583e94099e264263b85cc35f41d1d8c32765c302a,cacd4ca90eccd9011937cb83d02f6c959908593b705af3fed1f4fdaed6f90514,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
14,REGULAR,b25a08bb7972de1710802059c571916daad283a205a42f6e8a93da4fbe3b01cd,30a366fdbb799bd327f796baf42398aca1f4d27146b7f657512096f510613002,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
15,REGULAR,eb1eef336c139efc1dc8dd54800e2b1dd0ff7c517ce915bc628ff09c2f3e5525,7a39cb92b09df1150a2c5aacb77c37a423a49733269d2ebe649026f1fa1c870d,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
16,REGULAR,e89d01727479442559d28721a3d66d1a0dc70299d41c2a8a57b8e4c599a2fa0e,5321d27b11815e5872e4792da1d90b363b853e7bca78295e7d8be03f4e6755e2,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
17,REGULAR,121b31587aa0052521518e609907b97b9d175b7c1a7450e82f7f3341b2c95b8e,b645c6a397a27198ff130cf6835def8e3ae01b067d95b2ba46aade5d3f95e8bf,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
18,REGULAR,d2bcf4643d536bcd0ae51c92578ba4388f2b46315cd71759059ca3122e91bf09,b7a6bd18df1be3f49229ed002a59c4da121b182950837deb5252e8682d1e5987,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
19,REGULAR,be654822a6e9934ec46ec7176b139bad88a9563f157a5c8acabc3097477754ba,8bd107c306771420ae19133b7fde7f03f95e716fba1e43a90ffe8bed3a3c4481,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
20,REGULAR,2db661398c5c5adb8d861295073757088218c364c89deb8bbeed5de2233db3b2,c771671535af41b796da8effc57a503a2d1feb2ea2c067b1b259671c123c16f7,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
21,REGULAR,ad806abd07932f902fca36803d746b5495454f80c44857cc251f8c0fff6218b9,42d6a3aaa270f12a8a3a1336fb8d84b8e3266253644bfdeceb327cda82cc27e8,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
22,REGULAR,35c374bddc0a69811ebb7faa6e6135dfb3aa92361910512ad9009019b521b728,f321396c3210ea56971bc615c6bef4ac7caec8444657c7e36dd2d23a616294f5,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
23,REGULAR,e8ea4b9f19c5b6bf0286e6b4a25ceb12c93a59e2f082bc135f5385e1618bd879,20c8352bca80bcc10be3f6a0975eef68fc5c9528274abc553ed24cbf349cddc4,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
24,REGULAR,5489e5805d1cf09526c59d2b6febf65d9f71d96fc29f182825f45c587567cd1b,54ee9aa7a04a3d58df9fb025448528354857f8730b6da51544ee292066356c77,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
25,REGULAR,d198ccfcae2e7024bab6aef080f468f760921ef678f4b135983c421413ebeae2,004d3f9ff39a2d860efe975a940a174a51b91a516af7944e66730e998d12c3ab,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
26,REGULAR,bb086ec54a1a89c00344e6decb31859c72785543d4eaf452f426dd5295fa1276,c9370691568273b3197d6cdf471346d5097f83a488747f4619a71ebae30f7132,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
27,REGULAR,dc5769f2915fec9f8706b1b69ebb03f36671bdd94d0a768d188f5af3a43cdb0e,91e869b5f3697721bf418c21d6ff033813a83261971c1dafb8c96b9cdff42f37,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
28,REGULAR,6ddb6ab0a32d82bfc7d6b6989e655f51c84be3e78f6208e0072fa1e73dc88f0f,9a10e477032dc4cfa7396db80c8b5d1cdc3cd0946cc33389d717c2d4cc6e33de,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
29,REGULAR,d64cb088661d137bbacbf1ac0006709d4d1fba0cd7f05dd1726ec89eb27cb43f,7e19ce20966ef716244b8c25095f12d8abb474e736d874649db22bd23ddfb480,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
30,REGULAR,3bd5649259561c65b3978919e4ac2344054e9ea379f4152d49133504b0ecdbeb,3de42fd00fd44765b1d004fe7e416766fb88af3c502ec3082ec583efedbf4311,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
31,REGULAR,2bb741db7beea3ed4498c6dd22b5bc868e58cdb55ee175c2a273bd24636bed52,d91a3bc09f9a3c0a7cc6fd11c9682ba9d32204782ce494a1e6c827c7b3a936c6,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
32,REGULAR,d8472391de24d19223edabdc5ef120bb750dd27515edbf9e4229033f541bb8da,9c23bd01345609bb180b14e777aa46734a3b1f3d1973c5ce59fef1b0c5db8cc5,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
33,REGULAR,78a8d053b39a27695f64eb76726d4f979ec7b995bf7e714f3226335ae4115dc3,c6a0685efef8bbf6d4be20fd603c93c0980c575bfc70f1ced9268a7dc146fc87,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
34,REGULAR,76d389a322e6a9baa1b09e4ba76f8dd7e72ae8993a96e9f02fd84d33a1e17167,b219af026dfe2403acc9a0ad096cd1453e8b516b549ce9c900f40fc1fc0155ce,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
35,REGULAR,b16102f6c09fd74c4173a0b798f941bde14f07811e73b33d332d89c698b12e0c,7f87a2f5adc8d88c486717d0c24c95e3a4b0dd6a195a7f7785d4003b8be326af,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
36,REGULAR,34aa98dfe98331ea3996b02d91f37d6eaf0b4fdc1d8252cbb9174317c63936dc,0e60a87b58ec48e00184e178bc387c642e640e3a368eff0b40fca7f2a81e4324,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
37,REGULAR,6be991d3d20ff05222a49ab425faa3b8710500ebd3ca1a41e4b1015d0b42ba98,999fcc19660695f7be61b924a2a5ebf88560a227726275e8bd07605db2c1857d,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
38,REGULAR,2392c99a69fc6b9841de4b069105ca6e49d4edf456b5c2eb2208d79eac31bea9,c296be808eb3116edf30b1a2d4e9d796017e32bdb1007d4a80bf17648543b2fa,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
39,REGULAR,229b2c0c3536547479ad39da390a0d06e4b2fb25c77f690014cb2435ca35fcc8,00c41cd447a9ca579f5c544def8749639929d39f579b5fc2ff038664803a2af8,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
40,REGULAR,3958eeedf1f2ddc67707d7b8a92f6190d7f4aa4116999a02201a512753cb1806,12088da7c41b818bfa1d0e51c790b791c1b0afdb18b71b9e26a65698d06c264c,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
41,REGULAR,b512eec1d280a86fd5731d187c47ee0b198dbe759d10153333c9ae55309f80fe,b21f96596d533a5ec9db908cd8f893a26ac95f7535be012230e634b93528c2e5,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
42,REGULAR,a2e6fc87c1e90157ad9e0343c36763f6d2660a526e68ea47f2ed188806d98798,3c5f95486413df8adc05b110cad2df18b176386aebe5e0d5cefe42b0219f3570,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
43,REGULAR,13d179bd6590fc331978b7c2bac7a79dbc7570749a3d628ddb4799a1efd4ba50,8e7805dd32391c3bd64f932d54b169f57643e7111e70730a16e9244056a28965,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
44,REGULAR,598480dbc7258a7264ca4baf39059ae1f5425384e69b715591700eed64c53e49,12b51db6617bcc5cb81f31fe0f3f2ee7cde7404e20f44ceb94ed8d3d23d8dadd,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
45,REGULAR,99a053295b6f50c323fa86673c93b15765f02230e1b8ab4d2f2bd292b24043a9,c3f44b57f4d3111f5ef6a5e670f4c95ebe5708fe6642da082f5db9283f1d8301,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
46,REGULAR,efc23f9b8de039b2b534c7213959bb134133a1687aa8cd050cae1384a6d14050,d0a5504da5c79ca35039306734a23cf61e0ab6f7509b12f7cba11064fe90143a,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
47,REGULAR,f80f31a6b09430ffd16ed5591a2239af9bc53e2001c44921b233bb235fd8a9f8,ff15bbdb2efcfd1e32b861787e57013f02f86a9c52cba28b82e90f05255da483,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
48,REGULAR,14e7cf0df6d46d335bcb2daecf94da5f9f2214abab8ff01e2c89505940be2cee,a4837be53bdba87c5483040cb143a5be4681eb855488957432765b78734895d4,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
49,REGULAR,8656184a9dd81a303b22252df64b558a20c15027236fd6aa9dd58051311b9a60,bf3ce300d66ff73fa84a6f3f7f7ac3e46a3e6b2ccb0318f415f1879dbe88a9e1,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
50,REGULAR,84cfa3f3d3369d06e4bf4b1a5576cc476009f548c0d8f4b829d6624c686b532b,e287b6d8486e42cf316f87ffb0b0a8ce31309b3520c8811996f3478c5647cb89,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
51,REGULAR,11ad0fc7b350097a0b711b3eb41ba09852ca2ab6efb38a302289a9c8c2facb53,dce915f1869e5f3ab2b85fa1ca14440aaf6d81201bdb0bf7add5acd74d5165c9,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
52,REGULAR,a23b5bdaec391b19df1fd1b377f3bec312787fb42a1960dd1c53436bf3bfe824,052c5ebfa4f75514c220e527b3ea0abb61cc13198c6fe1e1bbe0ce54fb02a171,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
53,REGULAR,471a88297871046a0f5cb65c1b0c5d68ff3d65edd6cff3d993b2efcead37d5e4,ee4da1f9543bbc8ec252ce02cacee3209408b620d1ddbc5e7057ade1557063dc,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
54,REGULAR,cd7a9ff4d8c63d48f4ab11dbe7a9fae489794642ef66a61940b6891a9bb21df6,14178a3cff756df0e9abaf6e24e2cd77833f4a72d3f375997f6bb6abe6a9f807,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
55,REGULAR,6d0011ea1e9ffded9000317777b86ffd392e27f5e8e7dc7881bf9d7d72139074,e28087027b6b9d5db89821937ae1b798b6093877eaf981e6f86d3e96bcb2b342,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
56,REGULAR,409174e4be255ef3df18927ce744b9acfe15370412b5d25e5cd06fd691e83fa1,023accd3ac6314d04b4cea49a2a494e2279d7a9d00f4e12ba510c8071435974c,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
57,REGULAR,c8e64eae984f6b279332de75a9a6383810c6ea361dba43c3de37686c14013397,2a3cf280fed915cc069b20c844e8263bf6b231694002b11c14bcbaf0c0709a48,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],07/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
58,REGULAR,0c9b35f7dc983ab915fb5e51c42eea43b67b21db97c74e66a3bfb2237fd4c4d2,1b7e668cad3c441c1a9db6b32a866099a1b8211fc217c5cb79477d3b915dce85,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
59,REGULAR,70f14f4562005aeb23c0676f6f49aa8830bb72b3bc6b00e1d609902ed9a29803,abe95446ef0a8caec854e7392d1c8e8db3ec4aea573bf3cb6bfc2dcd5ba4537a,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
60,REGULAR,48325359cdb6c066514873f57b88167b3f3288ea796dc1b038c509304598da03,694a96aee82910e3f7ba298120ffc4b747978eb08bea660a7abfb0be0f340415,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
61,REGULAR,cc0a1092cd0decb973a61ef62ea12838586608e040bd02ed9876d0d2223c9691,db9ba6da2c9a3e1e255f1f0bb873ed3abc4b79cd3206b544e1c8f17048a8d595,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
62,REGULAR,3215dd584552f6759893bd9a7dbcad190f82d2ef8c2b8fcc697d48fbdb8adc0f,3b33b45b25e37f9a620df422159a145e530656a7ddad698971dc076206ca2e4e,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
63,REGULAR,f930061e8bd8f65a987a0dffcb1c6331cbba922dd73332f29aec71a3a761c235,e033e053fbc1640294d7a02e21262ab855b32ad58ffef50f90e748b43fafb7e5,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
64,REGULAR,973caf52348c643922484d48a224512eabcdd09aaf22ed3155788ad952eef4da,f90522b9a02fac2c444dffb88edff61d1876bd2571ad272c02dd6affeb5c0110,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
65,REGULAR,6c2348e21646e33cd6984f0e04e8f22b75d6dbcfa464148a9de0c8353547689e,b6a7bc79f0a75bb11189aff83115ed62a1cc7cbb04d2ded3e2d7483c6fab6fb5,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
66,REGULAR,ee74a21687489b2810383f1e34314bcae0e91704cc8810c791afce82c87be9a5,54f5c98525e6977e6f967d79a31987a1f735c454fd3ffdc9ac2134034f5b8edd,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
67,REGULAR,5d897fcbbb7ba4a72af9653f979168f5d74171d79e9df9b6c68db94fa9d9829c,f5d063c5ca86a31336699611e0a5ee10fbdd373eef607f9e8c3327ab8b9fcd12,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
68,REGULAR,1e678a98d27941234dab1ebf4b08d2e9b8125887a70cec95af95568d248abd8d,7ed65a71218521b140c701d39ef7f5ffb1f94937a852fb203b9b1643728eb28f,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
69,REGULAR,c80b527dee3ce50c15a00dc1329df7ecc7b6c5480bc81c1e09d7f5276b43a260,907b2fbe0217313e55623c0ae9638404dcb15eda11bd7b2f976346c023a7e9a0,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
70,REGULAR,c8af22e1059ba7a0f523eae18e9252a4a103cfd639a6bd90aaa954cbdbaa80db,dee538e3d66a5411764402a03d4d15edf8d0c464e6480b05de09b91608af2819,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
71,REGULAR,984b9e06765eb4655e1aaecc239f8b75b523c41ffbc6bb0c176e410ae8b9d0bf,ada4fab1854b09bced72636e060facc414ad13ac69f6402e6ef38ec32c2022d3,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
72,REGULAR,189384ca82c2ac4bb3ade1bd1b27b413205a8464f5198b35b722715beb0e8c98,3ae15b990a681558ef2d06e7bcfef5088a9b87a385f9bf08f4393e597c9b7b86,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
73,REGULAR,e6a3a7dc04ca96815df21670c687e32050beee486cdf446bdaedd6adf12622dc,a9c2518297fd7114fa12181295e5c99d5848ffab88f9174ec5e3662372d03bba,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
74,REGULAR,01b4a3fde2eb25620fb244d5f3d43e44b230df8327fb9e5d5456c12477999dc9,cb28628e06f533816cd96e5d703fd462bae0080e15fc0b107f54b16e7af68a4e,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
75,REGULAR,aeef00c478f36c073cce59a4654cfb55df4446e9a5f44d913ac8473ee9ab496b,a423cc84e72d8aba2061f3845411c4f17ccf87a0575a7fe9dae929f6bd40deba,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
76,REGULAR,64c6c0f9869d167ba3dd05a8df5ccf40046d253af25909657e1d6e7b0d1b92c3,b098587d1d99a5da97e8b54306dd92bab3418fd205a0ea903ed4ee00fd85db80,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
77,REGULAR,3b2bb847a57a3ca5dc393890b848324be09d599a8734eb1f789407306c10c1c1,cf23aa3b606d12994e7732f03b2dbfa5578096bd381b04d77dc048db2f5ff140,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
78,REGULAR,0026a70b092af4c1b78d2fc71b7ba553ca970885f8af8478ce531dcf6ef54787,2bd3e022384714a6f74d6e97e8dc0bf548c3d12ffb2d2b9038df5c6a1b63e944,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
